155474|Mystery House|Hi-Res Adventure #1: Mystery House||Adventure,|||On-Line Systems|On-Line Systems|
100627|Neverhood, The|Neverhood, The||Point and Click,Adventure,|||Neverhood, Inc., The|DreamWorks Interactive L.L.C.|1996
102097|New Kid on the Block, The|New Kid on the Block, The||Point and Click,Adventure,|||Living Books|Brøderbund Software, Inc.|1993
99787A|Nippon Safes, Inc.|Nippon Safes, Inc.||Point and Click,Adventure,|1||Dynabyte Software|Dynabyte Software|
101312|Pajama Sam - Games To Play On Any Day|Pajama Sam - Games To Play On Any Day||Point and Click,Adventure,|||Humongous Entertainment, Inc.|Humongous Entertainment, Inc.|2001
101490|Pajama Sam 1 - No Need To Hide When It's Dark Outside|Pajama Sam 1 - No Need To Hide When It's Dark Outside||Point and Click,Adventure,|||Humongous Entertainment, Inc.|Humongous Entertainment, Inc.|1996
101669|Pajama Sam 2 - Thunder And Lightning Aren't So Frightening|Pajama Sam 2: Thunder and Lightning aren't so Frightening||Point and Click,Adventure,|||Humongous Entertainment, Inc.|Humongous Entertainment, Inc.|1998
101671|Pajama Sam's Lost And Found|Pajama Sam's Lost & Found||Point and Click,Adventure,|||Humongous Entertainment, Inc.|Humongous Entertainment, Inc.|1998
101672|Pajama Sam's Sock Works|Pajama Sam's SockWorks||Point and Click,Adventure,|1||Humongous Entertainment, Inc.|Humongous Entertainment, Inc.|1997
99802A|Passport To Adventiure|Passport To Adventiure||Point and Click,Adventure,|1||LucasArts|LucasArts|
99803A|Pepper's Adventures In Time|Pepper's Adventures In Time||Point and Click,Adventure,|1||Sierra On-Line, Inc.|Sierra On-Line, Inc.|1993
155483|Phantasmagoria|Phantasmagoria||Point and Click,Adventure,|1||Sierra On-Line|Sierra On-Line|1995
155484|Phantasmagoria 2|Phantasmagoria: A Puzzle of Flesh||Point and Click,Adventure,|1||Sierra On-Line|Sierra On-Line|1996
99813A|Playtoons - Bambou Le Sauveur De La Jungle|Playtoons - Bambou Le Sauveur De La Jungle||Point and Click,Adventure,|1||Coktel Vision|CUC Software International|1993
155485|Plumbers Don't Wear Ties|Plumbers Don't Wear Ties||Adventure,|||United Pixtures|United Pixtures|1993
155487|Police Quest - Swat|Daryl F. Gates' Police Quest: SWAT||Action,|||Sierra On-Line, Inc.|Sierra On-Line, Inc.|1995
99821A|Police Quest 1 - In Pursuit Of The Death Angel|Police Quest: In Pursuit of the Death Angel||Point and Click,Adventure,|1||Sierra On-Line, Inc.|Sierra On-Line, Inc.|1987
172828|Police Quest 1: In Pursuit of the Death Angel VGA|Police Quest 1: In Pursuit of the Death Angel VGA||Point and Click,Adventure,|1||Sierra|Sierra|1992
99814A|Police Quest 2 - The Vengeance|Police Quest 2: The Vengeance||Point and Click,Adventure,|1||Sierra On-Line, Inc.|Sierra On-Line, Inc.|1988
99816A|Police Quest 3 - The Kindred|Police Quest 3: The Kindred||Point and Click,Adventure,|1||Sierra On-Line, Inc.|Sierra On-Line, Inc.|1991
155486|Police Quest 4 - Open Season|Daryl F. Gates Police Quest: Open Season||Adventure,|||Sierra On-Line, Inc.|Sierra On-Line, Inc.|1993
101881|Princess and the Crab, The|Princess and the Crab, The||Point and Click,Adventure,|||||
99822A|Putt-putt And Fatty Bear's Activity Pack|Putt-putt And Fatty Bear's Activity Pack||Point and Click,Adventure,|1||Humongous Entertainment|Humongous Entertainment|1994
99823A|Putt-putt And Pep's Balloon-o-rama|Putt-putt And Pep's Balloon-o-rama||Point and Click,Adventure,|2||Humongous Entertainment|Humongous Entertainment|1996
101680|Putt-putt And Pep's Dog On A Stick|Putt-putt And Pep's Dog On A Stick||Point and Click,Adventure,|||Humongous Entertainment, Inc.|Humongous Entertainment, Inc.|1996
101673|Putt-putt Enters The Race|Putt-putt Enters The Race||Point and Click,Adventure,|||Humongous Entertainment, Inc.|Humongous Entertainment, Inc.|1998
101674|Putt-putt Goes To The Moon|Putt-Putt Goes to the Moon||Point and Click,Adventure,|1||Humongous Entertainment, Inc.|Humongous Entertainment, Inc.|1993
99828A|Putt-putt Joins The Circus|Putt-Putt Joins the Circus||Point and Click,Adventure,|1||Humongous Entertainment|Humongous Entertainment|2000
101676|Putt-putt Joins The Parade|Putt-Putt Joins the Parade||Point and Click,Adventure,|1||Humongous Entertainment, Inc.|Humongous Entertainment, Inc.|1992
101677|Putt-putt Saves The Zoo|Putt-Putt Saves the Zoo||Point and Click,Adventure,|1||Humongous Entertainment, Inc.|Humongous Entertainment, Inc.|1995
101678|Putt-putt Travels Through Time|Putt-Putt Travels Through Time||Point and Click,Adventure,|||Humongous Entertainment, Inc.|Humongous Entertainment, Inc.|1997
99833A|Putt-putt's Fun Pack|Putt-Putt's Fun Pack||Point and Click,Adventure,|1||Humongous Entertainment|Humongous Entertainment|1993
101670|Pajama Sam 3 - You Are What You Eat From Your Head To Your Feet|Pajama Sam 3: You Are What You Eat From Your Head To Your Feet||Point and Click,Adventure,|||Humongous Entertainment, Inc.|Humongous Entertainment, Inc.|
99836A|Quest For Glory 2 - Trial By Fire|Quest for Glory II: Trial by Fire||Point and Click,Adventure,|1||Sierra On-Line, Inc.|Sierra On-Line, Inc.|1990
99838A|Quest For Glory 3 - Wages Of War|Quest for Glory III: Wages of War||Point and Click,Adventure,|1||Sierra On-Line, Inc.|Sierra On-Line, Inc.|1992
155488|Quest For Glory 4|Quest for Glory: Shadows of Darkness||Adventure,|||Sierra On-Line, Inc.|Sierra On-Line, Inc.|1993
155490|Rama|Rama||Adventure,|1||Dynamix, Inc.|Sierra On-Line, Inc.|1996
100480|Return To Ringworld|Return to Ringworld||Point and Click,Adventure,|||Tsunami Media, Inc.|Tsunami Media, Inc.|1994
99980A|Return To Zork|Return to Zork||Point and Click,Adventure,|1||Activision, Inc.|Activision, Inc.|1993
100478|Rex Nebular And The Cosmic Gender Bender|Rex Nebular And The Cosmic Gender Bender||Point and Click,Adventure,|1||Tsunami Media|Tsunami Media|1992
100479|Ringworld - Revenge Of The Patriarch|Ringworld: Revenge of the Patriarch||Point and Click,Adventure,|1||Tsunami Media, Inc.|Tsunami Media, Inc.|1992
155491|Riven|Riven: The Sequel to Myst||Point and Click,Adventure,|1||Cyan Productions|Red Orb Entertainment|1997
99849A|Roberta Williams' Mixed-up Mother Goose|Roberta Williams' Mixed-Up Mother Goose||Point and Click,Adventure,|1||Sierra On-Line, Inc.|Sierra On-Line, Inc.|1991
99852A|Rodney's Funscreen|Rodney's Funscreen||Point and Click,Adventure,|1||Art in the Box|Activision|1992
102092|Ruff's Bone|Ruff's Bone||Point and Click,Adventure,|||||
99555A|Lost Secret Of The Rainforest|Lost Secret of the Rainforest||Point and Click,Adventure,|1||Sierra|Sierra|1993
99974A|Sam And Max Hit The Road|Sam & Max Hit the Road||Point and Click,Adventure,|1||LucasArts|LucasArts|1993
