59861A|Fushigi No Dungeon - Fuurai No Shiren 2 - Oni Shuurai! Shiren Jou!|Fushigi no Dungeon - Fuurai no Shiren 2 - Oni Shuu||Race, Driving,Role playing games,|1||Chunsoft|Chunsoft|2000
5509AA|Gauntlet Legends|Gauntlet Legends||Role playing games,|4|Coop|Atari|Midway|1999
59864A|Getter Love!! Cho Renai Party Game|Getter Love!! Cho Renai Party Game|Getter Love!!|Various,Simulation,|4||Hudson Soft|Hudson|1998
5504AA|Gex 3 - Deep Cover Gecko|Gex 3 : Deep Cover Gecko||Action,Platform,|1||Eidos Interactive|Crave Entertainment - Crystal Dynamics|1999
5491AA|Gex 64 - Enter The Gecko|Gex 64 : Enter the Gecko||Action,Platform,|1||Midway|Crystal Dynamics|1998
5508AA|Glover|Glover||Action,Adventure,Platform,|1||Hasbro Interactive|Hasbro Interactive - Interactive Studios|1998
59859A|Glover 2|Glover 2||Action,Platform,|1||Interactive Studios|Hasbro Interactive - Interactive Studios|2000
59865A|Goemon - Mononoke Sugoroku|Goemon - Mononoke Sugoroku|Ganbare Goemon - Mononoke Sugoroku|Sports,Asiatic board game,|4||Konami|Konami|1999
5467AA|Mystical Ninja 2 Starring Goemon|Goemon's Great Adventure||Action,Action,Adventure,Platform,|2||Konami|Konami|1998
5660AA|Golden Nugget 64|Golden Nugget 64||Casino / Slot machine,Casino,|4||Westwood Studios|Electronic Arts|1998
5397AA|Goldeneye 007|GoldenEye 007||Action,Shooter,Shooter / 1st person,|4||Rareware|Nintendo|1997
5634AA|Gt 64 - Championship Edition|GT 64: Championship Edition||Race, Driving,|2||Imagineer|Imagineer - Ocean|1998
59541A|Hamster Monogatari 64|Hamster Monogatari 64||Simulation,|1||Culture Brain|Culture Brain|2001
59542A|Harukanaru Augusta - Masters '98|Harukanaru Augusta - Masters '98|Harukanaru Augusta Masters 98|Sports,Sports / Golf,|4||T&E Soft|T&E Soft|1997
5489AA|Harvest Moon 64|Harvest Moon 64||Simulation,|1||Pack-In|Natsume|1999
59543A|Heiwa Pachinko World 64|Heiwa Pachinko World 64||Various,Casino,|1||Shouei|Amtechs|1997
