150965|16-in-1 Super Card|16-in-1 Super Card||,Compilation|||||
3004AA|Castlevania Legends|Castlevania Legends|Castlevania - Legends|Action|1||Konami Computer Entertainment Nagoya Co., Ltd.|Konami of America, Inc.|1998
3280AA|Cat Rap|Catrap|Ca Da|Puzzle-Game,|1||ASK Kodansha|Asmik|1990
66209A|Cave Noire|Cave Noire||Adventure,Strategy,|1||Konami Industry Co. Ltd.|Konami Industry Co. Ltd.|1991
66210A|Centipede|Centipede||Action,Arcade|2||Leaping Lizard Software, Inc.|Hasbro Interactive, Inc.|1992
66212A|Chachamaru Boukenki 3 - Abyss No Tou|Chachamaru Boukenki 3 - Abyss no Tou||Role playing games,|||Human Entertainment|Human Entertainment|1991
66214A|Chachamaru Panic|Chachamaru Panic|Chacha Maru Panic|,Arcade|||||
66217A|Chalvo 55 - Super Puzzle Action|Chalvo 55 - Super Puzzle Action||Platform,Puzzle,|1||Japan System Supply|Japan System Supply|1997
66219A|Championship Pool|Championship Pool||Sports,|1||Bitmasters, Inc.|Mindscape, Inc.|1993
3415AA|Chase H.q.|Chase H.Q.||Race, Driving,Action,|1||Taito Corporation|Taito Corporation|1990
3209AA|Chessmaster|Chessmaster|Checkmate|Puzzle-Game,|2||Ubisoft SRL|Ubisoft Entertainment SA|1999
66234A|Chibi Maruko-chan - Maruko Deluxe Gekijou|Chibi Maruko-chan - Maruko Deluxe Gekijou||,Adventure|||||
66237A|Chibi Maruko-chan - Okozukai Daisakusen!|Chibi Maruko-chan - Okozukai Daisakusen!|Chibi Maruko-chan - Okozukai Daisakusen|,Adventure|||||
66228A|Chibi Maruko-chan 2 - Deluxe Maruko World|Chibi Maruko-chan 2 - Deluxe Maruko World||,Adventure|||||
66230A|Chibi Maruko-chan 3 - Mezase! Game Taishou No Maki|Chibi Maruko-chan 3 - Mezase! Game Taishou no Maki||,Arcade|||||
66231A|Chibi Maruko-chan 4 - Kore Ga Nihon Da Yo! Ouji-sama|Chibi Maruko-chan 4 - Kore ga Nihon Da yo! Ouji-sa|||||||
66239A|Chiki Chiki Machine Mou Race|Chiki Chiki Machine Mou Race||Action,|||||
