3869AA|007 - Nightfire|007 : Nightfire||Sports,Shooter / 1st person,Shooter,|2||JV Games|Electronic Arts|2003
83211A|Bass Tsuri Shiyouze! - Tournament Wa Senryaku Da!|Bass Tsuri Shiyouze! - Tournament wa Senryaku da!|||||||
4209AA|Batman - Rise Of Sin Tzu|Batman : Rise of Sin Tzu||Race, Driving,|||Action|Action|2003
4070AA|Batman Begins|Batman Begins||Action|1||Electronic Arts|Electronic Arts|2005
3999AA|Batman Vengeance|Batman Vengeance|Batman - Vengeance|,Action|1||Ubisoft|Ubisoft|2001
3995AA|Battle B-daman|Battle B-Daman||Fight,|2||Atlus|Takara|2006
83214A|Battle B-daman - Fire Spirits!|Battle B-Daman : Fire Spirits!||,Arcade|||||
83219A|Battle X Battle - Kyodai Gyo Densetsu|Battle X Battle - Kyodai Gyo Densetsu|Battle X Battle - Kyoudai Gyo Densetsu|,Fishing|||||
4635AA|Battlebots|Battlebots||,Action|||Vivendi Universal Games|Vivendi Universal Games|2002
78334A|Battlebots - Design And Destroy|BattleBots : Design & Destroy||Action,|||Cave Barn|Majesco Games|2003
83222A|Battletoads|Battletoads||Action,|2||Rare|Rare|2011
83223A|Bb Ball|BB Ball||,RPG|||Micott & Basara|Micott & Basara|2004
83226A|Beast Shooter - Mezase Beast King!|Beast Shooter - Mezase Beast King!|Beast Shooter Mezase Beast King|,Adventure|||Hudson|Konami|2002
83229A|Best Play Pro Yakyuu|Best Play Pro Yakyuu||,Baseball|||||
3977AA|Beyblade - Grevolution|Beyblade : GRevolution||Role playing games,|1||Atari|Atari|2004
4048AA|Beyblade - Vforce|Beyblade : VForce|||2||Takara|Atari|2003
83234A|Bibi Und Tina - Ferien Auf Dem Martinshof|Bibi und Tina - Ferien auf dem Martinshof||,Adventure|||||
83233A|Bibi Blocksberg - Der Magische Hexenkreis|Bibi Blocksberg - Der Magische Hexenkreis||,Adventure|||||
84155A|Meet The Robinsons|Meet the Robinsons||Platform,|1||Buena Vista Interactive|Climax|2007
4554AA|Big Mutha Truckers|Big Mutha Truckers||Race, Driving,|||Zoo Digital|Zoo Digital|2006
4096AA|Bionicle|Bionicle||Adventure,|1||Lego Media|Lego Media|2001
83237A|Bionicle - Matoran Adventures|Bionicle - Matoran Adventures|||||Argonaut Games|Electronic Arts|2002
4349AA|Bionicle - Maze Of Shadows|Bionicle : Maze of Shadows||Fight,|||THQ|THQ|2005
4130AA|Bionicle Heroes|Bionicle Heroes||Puzzle-Game,Action,|1||Traveller's Tales|Eidos Interactive|2006
83239A|Bit Generations - Boundish|bit Generations : Boundish|Bit Generations Boundish|,Arcade|||Skip, Ltd.|Nintendo|
83240A|Bit Generations - Coloris|bit Generations : Coloris|Bit Generations Coloris|,Puzzle|||Skip, Ltd.|Nintendo|
83241A|Bit Generations - Dialhex|bit Generations : Dialhex|||||Skip, Ltd.|Nintendo|
83242A|Bit Generations - Digidrive|bit Generations : Digidrive|Bit Generations Digidrive|,Arcade|||Q-Games|Nintendo|
83243A|Bit Generations - Dotstream|bit Generations : Dotstream|Bit Generations Dotstream|,Racing|||Skip, Ltd.|Nintendo|
83244A|Bit Generations - Orbital|bit Generations : Orbital|Bit Generations Orbital|,Arcade|||Skip, Ltd.|Nintendo|
83245A|Bit Generations - Soundvoyager|bit Generations : Soundvoyager|Bit Generations Soundvoyager|,Arcade|||skip Ltd.|Nintendo|
83246A|Black Belt Challenge|Black Belt Challenge||Action,Fighting|2||Lost Boys Games|Xicat Interactive, Inc.|2002
83247A|Black Black - Bura Bura|Black Black - Bura Bura|||||||
83248A|Black Matrix Zero|Black Matrix Zero||Role playing games,|1||Flight Plan|Interchannel|2002
4327AA|Blackthorne|BlackThorne||Various,Action,|1||Universal Interactive|Blizzard Entertainment|2003
83249A|Blades Of Thunder|Blades of Thunder||Action,Shooter|||Interactive Vision|Summitsoft|
4079AA|Bleach Advance|Bleach Advance||,RPG|||Sega|Sega|
83251A|Blender Bros.|Blender Bros.||Race, Driving,|4||Hudson|Infogrames|2002
83252A|Bmx Trick Racer|BMX Trick Racer||Race, Driving,|||Hypnotix|Simon & Schuster Interactive|
83253A|Board Game Classics|Board Game Classics||Strategy,|2||Black Lantern Studios, Inc.|Destination Software, Inc.|2005
84651A|Spongebob Squarepants - Battle For Bikini Bottom|SpongeBob SquarePants - Battle for Bikini Bottom||Platform,|1||THQ|Vicarious Visions|2004
84656A|Spongebob's Atlantis Squarepantis|SpongeBob's Atlantis SquarePantis|||||THQ|THQ|2008
84652A|Spongebob Squarepants - Creature From The Krusty Krab|SpongeBob SquarePants - Creature from the Krusty K||Action|1||THQ|Wayforward Technologies|
84824A|Spongebob Squarepants Movie, The|The SpongeBob SquarePants Movie||Platform,|1||Heavy Iron Studios|THQ|2005
84655A|Spongebob Squarepants - Lights, Camera, Pants!|SpongeBob SquarePants - Lights, Camera, Pants!||Action,Platform|1||Wayforward Technologies|THQ|2005
84288A|Nicktoons - Battle For Volcano Island|Nicktoons : Battle for Volcano Island||Action / Adventure,Action,|1||THQ|Halfbrick|2007
84287A|Nicktoons - Attack Of The Toybots|Nicktoons : Attack of the Toybots||Action,|1||THQ|THQ|
84286A|Nicktoons Unite!|Nicktoons Unite!||Action|1||THQ|Climax|2006
83254A|Boboboubo Boubobo - 9 Kyoku Senshi Gag Yuugou|Boboboubo Boubobo - 9 Kyoku Senshi Gag Yuugou|||||||
83255A|Boboboubo Boubobo - Bakutou Hajike Taisen|Boboboubo Boubobo - Bakutou Hajike Taisen|Boboboubo Boubobo - Bakuten Hajike Taisen|,Fighting|||||
83256A|Boboboubo Boubobo - Maji De!! Shinken Battle|Boboboubo Boubobo - Maji de!! Shinken Battle|||||||
83257A|Boboboubo Boubobo - Ougi 87.5 Bakuretsu Hanage Shinken|Boboboubo Boubobo - Ougi 87.5 Bakuretsu Hanage Shi||,RPG|||||
3862AA|Boktai 2 - Solar Boy Django|Boktai 2 : Solar Boy Django||Shooter,|4||Konami|Konami|2004
3833AA|Boktai - The Sun Is In Your Hand|Boktai : The Sun is in Your Hand||Simulation,|4||Konami|Konami|2004
83261A|Boku Wa Koukuu Kanseikan|Boku wa Koukuu Kanseikan||,Other|||||
83262A|Bokujou Monogatari - Mineral Town No Nakama-tachi|Bokujou Monogatari - Mineral Town no Nakama-tachi||,Adventure|||||
83263A|Bokujou Monogatari - Mineral Town No Nakama-tachi For Girl|Bokujou Monogatari - Mineral Town no Nakama-tachi ||,Adventure|||||
